通しNo,目録データファイル名,目録データプロパティ,パス,説明,サンプルデータ,クラスマッピングNo.,MADBマッピング（クラス）,MADBマッピング（原データ：プロパティ名）,加工仕様,加工後サンプルデータ,注記,入力日,入力者,更新日
47,rcgs_package_sparql_2022.csv,PA_date,-,発行に関連する日付,1983-07-15,2,ゲームパッケージ,出版日,"PA_typeが""http://www.rcgs.jp/terms/Publication""のとき出版日として記録する",,,,福田,
48,rcgs_package_sparql_2022.csv,PA_spatial,-,発行に関連する場所,[京都府京都市],2,ゲームパッケージ,出版地,"PA_typeが""http://www.rcgs.jp/terms/Publication""のとき出版地として記録する",,,,福田,
49,rcgs_package_sparql_2022.csv,PA_source,-,発行についての情報源,,2,ゲームパッケージ,データ出典,,,,,福田,
50,rcgs_package_sparql_2022.csv,PA_note,-,発行に関する注記,,2,ゲームパッケージ,出版注記,"PA_typeが""http://www.rcgs.jp/terms/Publication""のとき出版注記として記録する",,,,福田,
51,rcgs_package_sparql_2022.csv,PA_publisherStatement,-,発行する主体の表示される名称,任天堂株式会社,2,ゲームパッケージ,制作者名,"PA_typeが""http://www.rcgs.jp/terms/Production""のとき出版者名として記録する",,,,福田,
52,rcgs_package_sparql_2022.csv,PA_date,-,発行に関連する日付,1983-07-15,2,ゲームパッケージ,制作日,"PA_typeが""http://www.rcgs.jp/terms/Production""のとき出版日として記録する",,,,福田,
53,rcgs_package_sparql_2022.csv,PA_spatial,-,発行に関連する場所,[京都府京都市],2,ゲームパッケージ,制作地,"PA_typeが""http://www.rcgs.jp/terms/Production""のとき出版地として記録する",,,,福田,
54,rcgs_package_sparql_2022.csv,PA_note,-,発行に関する注記,,2,ゲームパッケージ,制作注記,"PA_typeが""http://www.rcgs.jp/terms/Production""のとき出版注記として記録する",,,,福田,
55,rcgs_package_sparql_2022.csv,PA_publisherStatement,-,発行する主体の表示される名称,任天堂株式会社,2,ゲームパッケージ,製造者名,"PA_typeが""http://www.rcgs.jp/terms/Manufacture""のとき出版者名として記録する",,,,福田,
56,rcgs_package_sparql_2022.csv,PA_date,-,発行に関連する日付,1983-07-15,2,ゲームパッケージ,製造日,"PA_typeが""http://www.rcgs.jp/terms/Manufacture""のとき出版日として記録する",,,,福田,
57,rcgs_package_sparql_2022.csv,PA_spatial,-,発行に関連する場所,[京都府京都市],2,ゲームパッケージ,製造地,"PA_typeが""http://www.rcgs.jp/terms/Manufacture""のとき出版地として記録する",,,,福田,
58,rcgs_package_sparql_2022.csv,PA_note,-,発行に関する注記,,2,ゲームパッケージ,製造注記,"PA_typeが""http://www.rcgs.jp/terms/Manufacture""のとき出版注記として記録する",,,,福田,
59,rcgs_package_sparql_2022.csv,PA_publisherStatement,-,発行する主体の表示される名称,任天堂株式会社,2,ゲームパッケージ,頒布者名,"PA_typeが""http://www.rcgs.jp/terms/Distribution""のとき出版者名として記録する",,,,福田,
60,rcgs_package_sparql_2022.csv,PA_date,-,発行に関連する日付,1983-07-15,2,ゲームパッケージ,頒布日,"PA_typeが""http://www.rcgs.jp/terms/Distribution""のとき出版日として記録する",,,,福田,
61,rcgs_package_sparql_2022.csv,PA_spatial,-,発行に関連する場所,[京都府京都市],2,ゲームパッケージ,頒布地,"PA_typeが""http://www.rcgs.jp/terms/Distribution""のとき出版地として記録する",,,,福田,
62,rcgs_package_sparql_2022.csv,PA_note,-,発行に関する注記,,2,ゲームパッケージ,頒布注記,"PA_typeが""http://www.rcgs.jp/terms/Distribution""のとき出版注記として記録する",,,,福田,
63,rcgs_package_sparql_2022.csv,schema_volumeNumber,-,シリアルにおける出版の巻の指定、もしくは整数による号の指定,2,2,ゲームパッケージ,巻,,,,,福田,
64,rcgs_package_sparql_2022.csv,schema_issueNumber,-,シリアルにおける出版の号の指定,1,2,ゲームパッケージ,号,,,,,福田,
65,rcgs_package_sparql_2022.csv,schema_copyrightYear,-,リソースの著作権など保護の主張に関連する日付,©1981,2,ゲームパッケージ,著作権年,,,,,福田,
66,rcgs_package_sparql_2022.csv,publisher,-,リソースを出版した主体,https://collection.rcgs.jp/resource/AGENT0000474,2,ゲームパッケージ,出版者,該当する責任主体のIDに変換（メモより同定可能）,,,,福田,
67,rcgs_package_sparql_2022.csv,ratingContentDescriptor,-,年齢レーティングの要因を示す内容の種別の分類,セクシャル (CERO),2,ゲームパッケージ,レーティング内容記述子,,,,,福田,
68,rcgs_package_sparql_2022.csv,responsibilityStatement,-,リソースのタイトルの責任に関する表示,任天堂株式会社,2,ゲームパッケージ,作者名,,,,,福田,
69,rcgs_package_sparql_2022.csv,seriesStatement,-,リソースが属するシリーズのタイトルやシリーズ内ナンバーの表示,FAMILY COMPUTER|ドンキーコング,2,ゲームパッケージ,シリーズ名,,,,,福田,
70,rcgs_package_sparql_2022.csv,subseriesStatement,-,リソースが属するサブシリーズのタイトルやサブシリーズ内ナンバーの表示,NAMCOT ; 03,2,ゲームパッケージ,サブシリーズ表示,,,,,福田,
71,rcgs_package_sparql_2022.csv,variantTitle,-,リソースの他のタイトルの属性で記録されないタイトル,~Solomon~,2,ゲームパッケージ,その他のタイトル,,,,,福田,
72,rcgs_package_sparql_2022.csv,type,-,リソースが属するサブクラス,https://collection.rcgs.jp/terms/Package|https://collection.rcgs.jp/terms/PhysicalPackage|https://collection.rcgs.jp/terms/ConsoleGame,2,ゲームパッケージ,サブジャンル,"""https://collection.rcgs.jp/terms/PhysicalPackage"" が記録される場合「物理パッケージ」を記録",物理パッケージ,,,福田,
73,rcgs_package_sparql_2022.csv,type,-,リソースが属するサブクラス,https://collection.rcgs.jp/terms/Package|https://collection.rcgs.jp/terms/PhysicalPackage|https://collection.rcgs.jp/terms/ConsoleGame,2,ゲームパッケージ,キーワード・タグ,"以下の対応関係で変換 ""https://collection.rcgs.jp/terms/ConsoleGame"":""家庭用据置型ゲーム"", ""https://collection.rcgs.jp/terms/PCGame"":""PCゲーム"", ""https://collection.rcgs.jp/terms/TableTopGame"":""テーブルトップゲーム"", ""https://collection.rcgs.jp/terms/HandheldGameConsole"":""家庭用携帯型ゲーム""",家庭用ゲーム,,,福田,
74,rcgs_package_sparql_2022.csv,brand,-,リソースの責任に関するブランド,BANDAI,2,ゲームパッケージ,ブランド,,,,,福田,
75,rcgs_package_sparql_2022.csv,contactPoints,-,リソースに表記されるアクセス先である電話番号,本社 TEL(075)541-6113(代)|東京支店 TEL(03) 3254-1781(代)|大阪支店 TEL(06)245-4155(代)|名古屋営業所 TEL(052) 571-2506(代)|岡山営業所 TEL(0862) 52-1821(代)|札幌営業所 TEL(011) 621-0513(代),2,ゲームパッケージ,電話番号,,,,,福田,
76,rcgs_package_sparql_2022.csv,contentRating,-,リソースが想定する対象者を示す年齢レーティングの分類,https://collection.rcgs.jp/resource/RATING0000001,2,ゲームパッケージ,レーティング,,,統制語彙対応済,,福田,
77,rcgs_package_sparql_2022.csv,gamePlatform,-,リソースをプレイするためのゲームプラットフォーム,https://collection.rcgs.jp/resource/PLATFORM0000063,2,ゲームパッケージ,ゲームプラットフォーム,"""https://collection.rcgs.jp/resource/"" を削除することで統制語彙に該当（要確認）",,,,福田,
78,rcgs_package_sparql_2022.csv,gtin13,-,リソースの主にバーコードで提供されるGTINによる識別子,4.99E+12,2,ゲームパッケージ,商品識別コード,,,,,福田,
79,rcgs_package_sparql_2022.csv,isbn,-,リソースのISBNによる識別子,9.78434E+12,2,ゲームパッケージ,ISBN,,,,,福田,
80,rcgs_package_sparql_2022.csv,issn,-,リソースのISSNによる識別子,,2,ゲームパッケージ,ISSN,,,,,福田,
81,rcgs_package_sparql_2022.csv,numberOfPlayers,-,リソースを同時にプレイする人数,1 Player,2,ゲームパッケージ,プレイヤー数,,,,,福田,
82,rcgs_package_sparql_2022.csv,price,-,リソースの供給者による希望小売価格,"[4,500円（税抜）]",2,ゲームパッケージ,価格,,,,,福田,
83,rcgs_package_sparql_2022.csv,requirement,-,リソースのプレイの要件となる装置もしくはシステムの要件,推奨環境 [追記要件] B面空欄(ソフトの書き込み可能) ,2,ゲームパッケージ,システム要件,,,,,福田,
84,rcgs_package_sparql_2022.csv,serialNumber,-,シリアルにおける部分を示す順番に基づく指定の表示,1(1)=1,2,ゲームパッケージ,シリアルナンバー,,,,,福田,
85,rcgs_package_sparql_2022.csv,thumbnailUrl,-,ゲームパッケージのサムネイル画像,,2,ゲームパッケージ,サムネイル,,,,,福田,
86,rcgs_package_sparql_2022.csv,url,-,リソースの制作者や供給者によるオフィシャルウェブサイト,1024 * 768,2,ゲームパッケージ,オフィシャルウェブサイト,,,,,福田,
87,rcgs_package_sparql_2022.csv,videoFrameSize,-,デジタル画像の明瞭度または細かさ,,2,ゲームパッケージ,解像度,,,,,福田,
88,rcgs_package_sparql_2022.csv,dimension,-,リソースの大きさの測定値,7.3 * 11.4 * 2 cm,2,ゲームパッケージ,コンテナ大きさ,,,,,福田,
89,rcgs_package_sparql_2022.csv,medium,-,リソースを物理的に構成する素材の分類,http://rdaregistry.info/termList/RDAMaterial/1007|http://rdaregistry.info/termList/RDAMaterial/1022|http://rdaregistry.info/termList/RDAMaterial/1025|http://rdaregistry.info/termList/RDAMaterial/1029,2,ゲームパッケージ,素材,,,統制語彙対応済,,福田,
90,rcgs_package_sparql_2022.csv,source,-,リソースを作成する上で参照したリソース,Price from 超絶大技林 2011年秋完全全機種版 / 金田一技彦 監|Title from cartridge label,2,ゲームパッケージ,データ出典,,,,,福田,
91,rcgs_package_sparql_2022.csv,embodiedWork,-,リソースにより具体化される作品,https://collection.rcgs.jp/resource/WORK0001340,2,ゲームパッケージ,ゲーム作品,該当するゲーム作品のIDに変換（メモより同定可能）,,,,福田,
92,rcgs_package_sparql_2022.csv,embodimentOf,-,リソースにより具体化されるバリエーション,https://collection.rcgs.jp/resource/VARIATION0000001,2,ゲームパッケージ,ゲームバリエーション,該当するゲームバリエーションのIDに変換（メモより同定可能）,,,,福田,
93,,N/A,-,,,2,ゲームパッケージ,サブタイプ,"""gm""を記録",gm,,,福田,
94,,N/A,-,,,2,ゲームパッケージ,ジャンル,"""ゲームパッケージ""を記録",,,,福田,
95,rcgs_package_sparql_2022.csv,publisher,-,リソースを出版した主体,https://collection.rcgs.jp/resource/AGENT0000474,2,ゲームパッケージ,発行者,該当する責任主体のIDに変換（メモより同定可能）,,,,福田,
96,rcgs_package_sparql_2022.csv,producer,-,非複製物であるリソースを制作した主体,,2,ゲームパッケージ,発行者,該当する責任主体のIDに変換（メモより同定可能）,,,,福田,
97,rcgs_package_sparql_2022.csv,manufacturer,-,リソースを製造した主体,,2,ゲームパッケージ,発行者,該当する責任主体のIDに変換（メモより同定可能）,,,,福田,
98,rcgs_package_sparql_2022.csv,distributor,-,リソースを頒布した主体,https://collection.rcgs.jp/resource/AGENT0003295,2,ゲームパッケージ,発行者,該当する責任主体のIDに変換（メモより同定可能）,,,,福田,
99,,N/A,-,,,2,ゲームパッケージ,タイプ,"""GamePackage""を記録",,,,福田,
100,rcgs_package_sparql_2022.csv,videoFormat,-,,NTSC J,2,ゲームパッケージ,放送標準,,,,,福田,
101,rcgs_package_sparql_2022.csv,regionsAllowed,-,,リージョン2,2,ゲームパッケージ,リージョンコード,,,,,福田,
102,rcgs_package_sparql_2022.csv,jpNumber,-,,20218851,2,ゲームパッケージ,外部ID,"値があるときは冒頭に""JPNO:△""を追加する",JPNO: 20218851,,,福田,
103,rcgs_person_sparql_2022.csv,s,-,リソースの記述単位毎に付与される識別子,https://collection.rcgs.jp/resource/AGENT0005601,3,責任主体,メモ,"""https://collection.rcgs.jp/resource/"" を削除",AGENT0005601,,,福田,
104,rcgs_person_sparql_2022.csv,prefLabel_ja,-,リソースの優先的に用いられる日本語の名称,郷里大輔,3,責任主体,名称,,,,,福田,
105,rcgs_person_sparql_2022.csv,prefLabel_en,-,リソースの優先的に用いられる英語の名称,Daisuke Gōri,3,責任主体,名称（外国語）,,,,,福田,
106,rcgs_person_sparql_2022.csv,altLabels,-,リソースの代替的に用いられる名称,Daisuke Gori|Gōri Daisuke|Gori Daisuke|Yoshio Nagahori|Nagahori Yoshio|Daisuke Gouri|Gouri Daisuke|長堀芳夫|長堀芳夫|郷里大輔,3,責任主体,別タイトル,,,,,福田,
107,rcgs_person_sparql_2022.csv,homepages,-,リソースのウェブサイト,http://www.gentleecho.net,3,責任主体,ウェブサイト,,,,,福田,
108,rcgs_person_sparql_2022.csv,descriptions,-,リソースの略歴,株式会社カプコン、クローバースタジオ株式会社、SEEDS株式会社を経て、プラチナゲームズ株式会社に所属。(2018年退社)2018年12月MIYABI GAME AUDIO株式会社設立。,3,責任主体,概要,,,,,福田,
109,rcgs_person_sparql_2022.csv,identifiers,-,同じもしくは関連するリソースを示す外部の典拠の識別子,ISNI:0000 0004 8283 717X,3,責任主体,識別子,,,,,福田,
110,rcgs_person_sparql_2022.csv,ndlAuthoritiesIDs,-,リソースの国立国会図書館典拠ファイルによる識別子,https://id.ndl.go.jp/auth/ndlna/00900316,3,責任主体,国立国会図書館典拠ID,,,,,福田,
111,rcgs_person_sparql_2022.csv,viafIDs,-,リソースのバーチャル国際典拠ファイルによる識別子,https://viaf.org/viaf/8146151052006933530004,3,責任主体,外部の関連リソース,,VIAF: ,,,福田,
112,rcgs_person_sparql_2022.csv,wikidataIDs,-,リソースのWikidataによる識別子,https://www.wikidata.org/entity/Q2280487,3,責任主体,Wikidata ID,,,,,福田,
113,rcgs_person_sparql_2022.csv,twitterIDs,-,リソースのTwitterアカウントの識別子,https://twitter.com/CristinaVee,3,責任主体,twitter ID,,,,,福田,
114,rcgs_person_sparql_2022.csv,seeAlsos,-,同じもしくは関連するリソースを示す外部のウェブサイト,https://ja.wikipedia.org/wiki/郷里大輔,3,責任主体,外部の関連リソース,,,,,福田,
115,rcgs_person_sparql_2022.csv,languages,-,リソースが表現や記録に用いる言語,http://id.loc.gov/vocabulary/iso639-2/eng,3,責任主体,言語,"""http://id.loc.gov/vocabulary/iso639-2/"" を削除",eng,,,福田,
116,rcgs_person_sparql_2022.csv,disambiguatingDescriptions,-,リソースの他の属性で記録されない識別的特徴,ポケモンカードの生みの親。,3,責任主体,その他の識別的特徴,,,,,福田,
117,rcgs_person_sparql_2022.csv,notes,-,リソースの識別に関する注記,,3,責任主体,その他の識別的特徴,,,,,福田,
118,rcgs_person_sparql_2022.csv,hasOccupations,-,個人の本業や副業,声優,3,責任主体,職業専門分野,,,,,福田,
119,rcgs_person_sparql_2022.csv,birthDates,-,個人の生年,1952,3,責任主体,生年月日,,,,,福田,
120,rcgs_person_sparql_2022.csv,deathDates,-,個人の没年,2010,3,責任主体,没年月日,,,,,福田,
121,rcgs_person_sparql_2022.csv,birthPlaces,-,個人の誕生した場所,東京都江東区,3,責任主体,出生地,,,,,福田,
122,rcgs_person_sparql_2022.csv,deathPlaces,-,個人の死没した場所,東京都中野区本町,3,責任主体,死没地,,,,,福田,
123,rcgs_person_sparql_2022.csv,homeLocations,-,個人の居住地,東京,3,責任主体,住所,,,,,福田,
124,rcgs_person_sparql_2022.csv,mboxs,-,個人の公開されたメールアドレス,,3,責任主体,メールアドレス,,,,,福田,
125,rcgs_person_sparql_2022.csv,addressCountrys,-,個人を識別するための国,JP,3,責任主体,国際地域,,,,,福田,
126,rcgs_person_sparql_2022.csv,additionalNames,-,個人の名称の展開形,,3,責任主体,フルネーム,,,,,福田,
127,rcgs_person_sparql_2022.csv,titles,-,"個人の称号 (Mr, Mrs, Ms, Dr. etc) ",,3,責任主体,敬称,,,,,福田,
128,rcgs_person_sparql_2022.csv,source,-,レコードを作成する上で参照したリソース,"https://collection.rcgs.jp/resource/VARIATION0017681|https://www.mobygames.com/developer/sheet/view/developerId,452046/ (accessed 2019-12-10)|https://ja.wikipedia.org/wiki/郷里大輔 (accessed 2019-12-10)|https://www.wikidata.org/entity/Q2280487 (accessed 2020-08-28)",3,責任主体,データ出典,,,,,福田,
129,,N/A,-,,,3,責任主体,サブジャンル,"""個人""を記録する",,,,福田,
130,,N/A,-,,,3,責任主体,サブタイプ,"""co""を記録する",,,,福田,
131,,N/A,-,,,3,責任主体,ジャンル,"""責任主体""を記録する",,,,福田,
132,,N/A,-,,,3,責任主体,タイプ,"""Agent""が記録される",,,,福田,
133,rcgs_organization_sparql_2022.csv,s,-,リソースの記述単位毎に付与される識別子,https://collection.rcgs.jp/resource/AGENT0000790,4,責任主体,メモ,"""https://collection.rcgs.jp/resource/"" を削除",AGENT0000790,,,福田,
134,rcgs_organization_sparql_2022.csv,skos_prefLabel_ja,-,リソースの優先的に用いられる日本語の名称,徳間書店,4,責任主体,名称,,,,,福田,
135,rcgs_organization_sparql_2022.csv,skos_prefLabel_en,-,リソースの優先的に用いられる外国語の名称,Tokuma Shoten,4,責任主体,名称（外国語）,,,,,福田,
136,rcgs_organization_sparql_2022.csv,rcgs_viafID,-,リソースのバーチャル国際典拠ファイルによる識別子,https://viaf.org/viaf/144258093,4,責任主体,外部の関連リソース,,,,,福田,
137,rcgs_organization_sparql_2022.csv,rcgs_wikidataID,-,リソースのWikidataによる識別子,https://www.wikidata.org/entity/Q1372258,4,責任主体,Wikidata ID,,,,,福田,
138,rcgs_organization_sparql_2022.csv,rcgs_twitterID,-,リソースのTwitterアカウントの識別子,https://twitter.com/AceRocBooks,4,責任主体,twitter ID,,,,,福田,
139,rcgs_organization_sparql_2022.csv,schema_startDate,-,団体の設立日,1954/3/19,4,責任主体,設立日,,,,,福田,
140,rcgs_organization_sparql_2022.csv,schema_endDate,-,団体の廃止日,2006,4,責任主体,終了年月日（廃止日）,,,,,福田,
141,rcgs_organization_sparql_2022.csv,schema_address,-,団体の住所,東京都品川区上大崎3丁目1番1号目黒セントラルスクエア,4,責任主体,住所,,,,,福田,
142,rcgs_organization_sparql_2022.csv,altLabels,-,リソースの代替的に用いられる名称,株式会社徳間書店,4,責任主体,別タイトル,,,,,福田,
143,rcgs_organization_sparql_2022.csv,homepages,-,リソースのウェブサイト,http://www.tokuma.jp/,4,責任主体,ウェブサイト,,,,,福田,
144,rcgs_organization_sparql_2022.csv,descriptions,-,リソースの略歴,1954年、東京都港区に「株式会社東西芸能出版社」を創立。1967年、アサヒ芸能出版株式会社と株式会社徳間書店合併。商号を株式会社徳間書店とする。2017年、カルチュア・コンビニエンス・クラブ株式会社の子会社となる。|郵便番号:105-8055,4,責任主体,概要,,,,,福田,
145,rcgs_organization_sparql_2022.csv,identifiers,-,同じもしくは関連するリソースを示す外部の典拠の識別子,,4,責任主体,識別子,,,,,福田,
146,rcgs_organization_sparql_2022.csv,seeAlsos,-,同じもしくは関連するリソースを示す外部のウェブサイト,https://mediaarts-db.bunka.go.jp/id/C45002|https://ja.wikipedia.org/wiki/徳間書店,4,責任主体,関連するリソース,,,,,福田,
147,rcgs_organization_sparql_2022.csv,languages,-,リソースが表現や記録に用いる言語,http://id.loc.gov/vocabulary/iso639-2/jpn,4,責任主体,言語,"""http://id.loc.gov/vocabulary/iso639-2/"" を削除",jpn,,,福田,
148,rcgs_organization_sparql_2022.csv,disambiguatingDescriptions,-,リソースの他の属性で記録されない識別的特徴,,4,責任主体,その他の識別的特徴,,,,,福田,
149,rcgs_organization_sparql_2022.csv,notes,-,リソースの識別に関する注記,NIGOROはブランドネームであり、代理販売をする場合はアスタリズムの名前で販売している。,4,責任主体,その他の識別的特徴,,,,,福田,
150,rcgs_organization_sparql_2022.csv,additionalTypes,-,団体の一般形の分類,企業,4,責任主体,その他の識別的特徴,"値があるときは冒頭に""団体種別:△""を追加する",団体種別: 企業,,,福田,
151,rcgs_organization_sparql_2022.csv,relatedOrganizations,-,団体に関連のある団体,https://collection.rcgs.jp/resource/AGENT0000816|https://collection.rcgs.jp/resource/AGENT0003169,4,責任主体,関連する団体,該当する責任主体のIDに変換（メモより同定可能）,,,,福田,
152,rcgs_organization_sparql_2022.csv,members,-,団体のメンバーの個人,,4,責任主体,メンバー,該当する責任主体のIDに変換（メモより同定可能）,,,,福田,
153,rcgs_organization_sparql_2022.csv,source,-,レコードを作成する上で参照したリソース,http://www.tokuma.jp/company/profile.html (accessed 2018-12-03)|https://ja.wikipedia.org/wiki/徳間書店 (accessed 2018-12-03),4,責任主体,データ出典,,,,,福田,
154,,N/A,,,,4,責任主体,サブジャンル,"""団体""を記録する",,,,福田,
155,,N/A,,,,4,責任主体,サブタイプ,"""co""を記録する",,,,福田,
156,,N/A,,,,4,責任主体,タイプ,"""Agent""を記録する",,,,福田,
157,,N/A,,,,4,責任主体,ジャンル,"""責任主体""を記録する",,,,福田,
158,ndlbibresource2309.csv,s,-,[リソースID],http://iss.ndl.go.jp/books/R100000002-I029672031-00#material,5,ゲームパッケージ,,,,,,福田,
159,ndlbibresource2309.csv,creatorName,-,"当該情報資源の作成者をリテラルで記述する場合、当該語彙を使用
する。",,5,ゲームパッケージ,作者名,,,,,福田,
160,ndlbibresource2309.csv,creatorID,-,当該情報資源の作成者を構造化又は URI により表現する場合、当該語彙を使用する。,,5,ゲームパッケージ,作者名（ヨミ）,,,,,福田,
161,ndlbibresource2309.csv,seeAlso,-,[JPNOのURI],http://id.ndl.go.jp/jpno/23214851,5,ゲームパッケージ,,,,,,福田,
162,ndlbibresource2309.csv,publicationPlace,-,出版地・頒布地に関する情報をここに収める。情報資源の出版地・頒布地を記述する場合（書誌情報を主語に持つ場合）に使用する。,JP,5,ゲームパッケージ,,,,,,福田,
163,ndlbibresource2309.csv,accessRights,-,当該メタデータ及び記述対象とする情報資源へのアクセスを制御するための情報をここに収める。,S01P99U99,5,ゲームパッケージ,,,,,,福田,
164,ndlbibresource2309.csv,publisher_name,-,[出版者名],レベルファイブ,5,ゲームパッケージ,出版者名,,,,,福田,
165,ndlbibresource2309.csv,publisher_location,-,出版者を記述対象とし、その出版者の所在に関する情報を記録する場合に、当該語彙を使用する。,[福岡],5,ゲームパッケージ,出版地,,,,,福田,
166,ndlbibresource2309.csv,publisher_description,-,[出版注記],,5,ゲームパッケージ,出版注記,,,,,福田,
167,ndlbibresource2309.csv,publisher_transcription,-,[出版社名の翻字],レベル ファイブ,5,ゲームパッケージ,,,,,,福田,
168,ndlbibresource2309.csv,price,-,当該情報資源の販売価格をここに収める。,,5,ゲームパッケージ,価格,,,,,福田,
169,ndlbibresource2309.csv,materialType,-,当該情報資源の資料種別をここに収める。NDL Type 及び DCMI Typeを用いて資料種別を表現する際に使用する。,http://ndl.go.jp/ndltype/ElectronicResource|http://ndl.go.jp/ndltype/Game,5,ゲームパッケージ,,,,,,福田,
170,ndlbibresource2309.csv,ISBNs,-,ISBN,,5,ゲームパッケージ,ISBN,,,,,福田,
171,ndlbibresource2309.csv,PBNOs,-,PBNO,LNA-CTR-AVSJ-JPN,5,ゲームパッケージ,型番,,,,,福田,
172,ndlbibresource2309.csv,JPNOs,-,JPNO,23214851,5,ゲームパッケージ,外部ID,"値があるときは冒頭に""JPNO:△""を追加する",JPNO: 23214851,,,福田,
173,ndlbibresource2309.csv,RIS502s,-,[レコード商品番号体系],,5,ゲームパッケージ,外部ID,"値があるときは冒頭に""RIS502:△""を追加する",,,,福田,
174,ndlbibresource2309.csv,genre,-,"当該情報資源のジャンル・形式用語を構造化又は URI により表現す
る",,5,ゲームパッケージ,キーワード・タグ,,,,,福田,
175,ndlbibresource2309.csv,volume,-,当該情報資源の巻次又は部編番号をここに収める。,,5,ゲームパッケージ,巻,,,,,福田,
176,ndlbibresource2309.csv,volume_transcription,-,[volumeの翻字],,5,ゲームパッケージ,,,,,,福田,
177,ndlbibresource2309.csv,title_value,-,[タイトル],レイトン教授vs逆転裁判,5,ゲームパッケージ,タイトル,,,,,福田,
178,ndlbibresource2309.csv,title_transcription,-,[タイトルの翻字],レイトン キョウジュ vs ギャクテン サイバン,5,ゲームパッケージ,タイトル（ヨミ）,,,,,福田,
179,ndlbibresource2309.csv,extent,-,"当該情報資源のページ数、大きさ、付属資料、ファイル容量等、形
態に関する情報をここに収める。",ROMカートリッジ 1個 ; 3.5×3.5cm + 操作説明シート 1枚 (12×12cm),5,ゲームパッケージ,概要,"値があるときは冒頭に""キャリア:△""を追加する",キャリア: ROMカートリッジ 1個 ; 3.5×3.5cm + 操作説明シート 1枚 (12×12cm),,,福田,
180,ndlbibresource2309.csv,issued,-,当該情報資源の出版年月日をここに収める,2012,5,ゲームパッケージ,公開年月日,,,,,福田,
181,ndlbibresource2309.csv,subject,-,"当該情報資源の内容を表す統制語彙、分類記号、フリーキーワード
等を構造化又は URI により表現する場合、当該語彙を使用する。",http://id.ndl.go.jp/class/ndlc/YH519,5,ゲームパッケージ,キーワード・タグ,,,,,福田,
182,ndlbibresource2309.csv,record,-,"管理情報から書誌情報へのリンク、書誌情報から個体情報へのリン
クとして使用する。",http://iss.ndl.go.jp/books/R100000002-I029672031-00#item,5,ゲームパッケージ,,,,,,福田,
183,ndlbibresource2309.csv,edition,-,版・バージョンに関する情報をここに収める。,,5,ゲームパッケージ,版表示,,,,,福田,
184,ndlbibresource2309.csv,seriesTitle,-,[シリーズのタイトル],,5,ゲームパッケージ,シリーズ名,,,,,福田,
185,ndlbibresource2309.csv,seriesTitle_transcription,-,"Series Title の読み又は翻字形をここに収める。RDF 形式を用いて、
Series Title の値とセットで読み又は翻字形を表現できない場合、
Series Title Transcription を使用する。",,5,ゲームパッケージ,シリーズ名（ヨミ）,,,,,福田,
186,ndlbibresource2309.csv,title,-,"当該情報資源のタイトルをリテラル（変数・関数ではない、文字
列・数値等のデータ）で記述する場合、当該語彙を使用する。",レイトン教授vs逆転裁判,5,ゲームパッケージ,,,,,,福田,
187,ndlbibresource2309.csv,abstract,-,当該情報資源の要約・抄録等をここに収める。,,5,ゲームパッケージ,概要,"値があるときは冒頭に""要約:△""を追加する",,,,福田,
188,ndlbibresource2309.csv,language,-,当該情報資源の記述言語をここに収める。,jpn,5,ゲームパッケージ,言語,,,,,福田,
189,ndlbibresource2309.csv,alternative,-,"別タイトル（本タイトルの別言語又は別文字による表示形等）をこ
こに収める。",,5,ゲームパッケージ,別タイトル,,,,,福田,
190,ndlbibresource2309.csv,alternative_transcription,-,[別タイトルの翻字],,5,ゲームパッケージ,別タイトル,,,適切なマッピング先無し,,福田,
191,ndlbibresource2309.csv,description,-,当該情報資源に関する注記をここに収める。,資料種別 : [電子資料]|電子的内容 : アプリケーション・プログラム|システム要件 : ニンテンドー3DS|ホルダー入 (13×14cm)|ナゾトキ・法廷アドベンチャー,5,ゲームパッケージ,概要,,,,,福田,
192,ndlbibresource2309.csv,partInformation_creator,-,[内容細目の作者],,5,ゲームパッケージ,概要,"値があるときは冒頭に""内容細目作者:△""を追加する",内容細目作者: 森田脩平 脚本・監督|大友克洋 脚本・監督|安藤裕章 監督|石井克人 原案・脚本|カトキハジメ 脚本・監督|大友克洋 原作,,,福田,
193,ndlbibresource2309.csv,partInformation,-,内容細目（単行書の構成レベルに相当する各著作）のタイトルと作成者をセットで表現する場合に当該語彙を使用する。,,5,ゲームパッケージ,サブユニットリスト,,,,,福田,
194,,N/A,,,,5,ゲームパッケージ,ゲームプラットフォーム,descriptionにシステム要件としてプラットフォームを示す文字列がある場合、プラットフォームを記録する,,,,福田,
195,,N/A,,,,5,ゲームパッケージ,サブジャンル,"""物理パッケージ""を記録する",,,,福田,
196,,N/A,,,,5,ゲームパッケージ,サブタイプ,"""gm""を記録する",,,,福田,
197,,N/A,,,,5,ゲームパッケージ,タイプ,"""GamePackage""を記録",,,,福田,
198,,N/A,,,,5,ゲームパッケージ,ジャンル,"""ゲームパッケージ""を記録する",,,,福田,
199,ndlitem2309.csv,s,-,[リソースID],http://iss.ndl.go.jp/books/R100000002-I031510345-00#item,6,ゲーム個別資料,メモ,,,,,福田,
